gen,mavg,max,directory,plot,environment,neural_network_type,random_seed_for_environment,population_size,number_generations,sigma,number_fitness_runs,use_biases,number_neurons_layer1,number_neurons_layer2,number_neurons,delta_t,optimize_state_boundaries,optimize_y0,set_principle_diagonal_elements_of_W_negative,clipping_range
2499,3001.937727684566,3615.960223578626,2020-05-10_22-51-41,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_22-51-41/plot.png,Walker2d-v2,CTRNN,2,200,2500,1.0,1,,,,20,0.05,True,False,True,
2499,1653.6485925990464,1658.370446431299,2020-05-16_08-09-02,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-16_08-09-02/plot.png,Hopper-v2,LNN,3,100,2500,0.5,1,False,4,2,,,,,,
2499,1640.8566704555994,1674.808640242838,2020-05-16_02-46-51,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-16_02-46-51/plot.png,Hopper-v2,LNN,2,100,2500,2.0,1,True,8,4,,,,,,
2499,1479.1890653726643,1543.433281166824,2020-05-13_04-06-29,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-13_04-06-29/plot.png,Walker2d-v2,CTRNN,3,500,2500,0.5,1,,,,10,0.05,True,True,False,
2499,2355.9589571438614,3010.3059953075062,2020-05-15_19-51-18,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_19-51-18/plot.png,Hopper-v2,LNN,4,100,2500,2.0,1,False,8,4,,,,,,
2499,2820.447983506312,3602.5198711752782,2020-05-10_07-28-23,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_07-28-23/plot.png,Walker2d-v2,CTRNN,2,200,2500,1.0,1,,,,20,0.05,True,True,True,
2499,2575.2690198631503,3689.3404379889334,2020-05-06_20-26-45,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-06_20-26-45/plot.png,Hopper-v2,CTRNN,0,200,2500,1.0,1,,,,30,0.05,True,True,True,
2499,3070.507376390295,3720.355276476195,2020-05-07_03-00-26,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-07_03-00-26/plot.png,Hopper-v2,CTRNN,0,200,2500,1.0,1,,,,20,0.05,False,True,False,1.0
2499,3864.0083697513683,4053.29335745253,2020-05-08_16-17-24,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_16-17-24/plot.png,HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,,,,20,0.05,True,True,False,
2499,893.9832172003145,1415.0727006858926,2020-05-11_18-03-41,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-11_18-03-41/plot.png,Walker2d-v2,CTRNN,4,500,2500,1.0,1,,,,20,0.05,True,False,True,
2499,1425.4530377997278,1754.1232196885364,2020-05-11_07-40-54,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-11_07-40-54/plot.png,Walker2d-v2,CTRNN,1,200,2500,1.0,1,,,,30,0.05,True,False,False,
2499,942.9624796648625,1223.761986807942,2020-05-08_09-58-09,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_09-58-09/plot.png,HalfCheetah-v2,CTRNN,0,200,2500,1.0,1,,,,30,0.05,False,True,False,1.0
2499,3058.3546352948156,3687.62797458107,2020-05-06_17-14-07,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-06_17-14-07/plot.png,Hopper-v2,CTRNN,0,200,2500,1.0,1,,,,10,0.05,False,False,True,1.0
2499,2394.727004548657,3554.177040121859,2020-05-07_20-19-47,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-07_20-19-47/plot.png,Hopper-v2,LNN,0,200,2500,1.0,1,False,64,32,,,,,,
2499,2355.360555915925,2868.1384928682305,2020-05-09_17-40-01,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-09_17-40-01/plot.png,Walker2d-v2,CTRNN,1,200,2500,1.0,1,,,,30,0.05,True,True,False,
2499,3066.8740379612673,3715.888508325824,2020-05-08_08-36-17,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_08-36-17/plot.png,Hopper-v2,CTRNN,1,200,2500,1.0,1,,,,20,0.05,False,False,True,1.0
2499,2595.1647802689367,3200.6480184384113,2020-05-12_23-22-29,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_23-22-29/plot.png,Walker2d-v2,CTRNN,0,100,2500,1.0,1,,,,50,0.05,True,True,False,
2499,1032.4041892049697,1176.3986520096491,2020-05-15_15-53-43,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-15_15-53-43/plot.png,Hopper-v2,LNN,4,500,2500,2.0,1,False,8,4,,,,,,
2499,52.04532244011465,167.87970109648202,2020-05-14_18-12-42,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-14_18-12-42/plot.png,Ant-v2,CTRNN,2,100,2500,0.5,1,,,,10,0.05,False,True,True,1.0
2499,3841.3716946468594,4056.512970164634,2020-05-10_16-14-23,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_16-14-23/plot.png,HalfCheetah-v2,CTRNN,2,200,2500,1.0,1,,,,20,0.05,True,False,True,
2499,2353.663828386462,2705.8264503329474,2020-05-12_01-29-16,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_01-29-16/plot.png,HalfCheetah-v2,CTRNN,4,26,2500,0.5,1,,,,30,0.05,True,False,False,
2499,1212.3133531019196,1689.0775009274662,2020-05-07_17-03-40,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-07_17-03-40/plot.png,Hopper-v2,LNN,0,200,2500,1.0,1,True,32,16,,,,,,
2499,-4.5729228515900795,-4.547447656960554,2020-05-17_21-35-42,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-17_21-35-42/plot.png,Reacher-v2,CTRNN,0,200,2500,1.0,50,,,,10,0.05,False,False,False,1.0
2499,1561.2766975847449,1599.1169748861423,2020-05-11_15-56-24,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-11_15-56-24/plot.png,HalfCheetah-v2,CTRNN,4,500,2500,0.5,1,,,,10,0.05,False,True,False,3.0
2499,1086.1045147614168,1327.4409377517966,2020-05-12_05-04-28,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-12_05-04-28/plot.png,Walker2d-v2,CTRNN,4,28,2500,1.0,1,,,,50,0.05,False,True,False,3.0
2499,3594.0066267991087,4606.530469940907,2020-05-10_17-24-51,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-10_17-24-51/plot.png,Walker2d-v2,CTRNN,0,200,2500,1.0,1,,,,20,0.05,True,False,True,
2499,802.3269851595063,994.6137140095,2020-05-08_03-57-21,/home/chef/dev/projekte/NeuroEvolution-CTRNNs/Simulation_Results/2020-05-08_03-57-21/plot.png,HalfCheetah-v2,LNN,4,200,2500,1.0,1,False,64,32,,,,,,
