gen,mavg,max,directory,plot,environment,random_seed,number_generations,type,number_neurons,delta_t,normalize_input,normalize_input_target,optimize_state_boundaries,clipping_range_max,clipping_range_min,optimize_y0,set_principle_diagonal_elements_of_W_negative,w_mask,w_mask_param,v_mask,v_mask_param,t_mask,t_mask_param,parameter_perturbations,population_size,checkpoint_frequency,initial_gene_range,mate_indpb_1,mate_indpb_2,mutation_Gaussian_sigma_1,mutation_Gaussian_sigma_2,mutation_Gaussian_sigma_3,mutation_Gaussian_indpb_1,mutation_Gaussian_indpb_2,mutation_Gaussian_indpb_3,elitist_ratio,tournsize,mu,lambda_,mutpb,include_parents_in_next_generation,keep_env_seed_fixed_during_generation,number_fitness_runs,reuse_env,mate_indpb
50,-101.03602535230834,-100.95327867334179,2020-06-05_19-25-54,,BipedalWalker-v3,0,50,MU_ES,5,0.5,True,1,legacy,1.0,-1.0,True,False,logarithmic,2,logarithmic,8,logarithmic,8,0.0,100,0,20,0.2,0.4,1.0,1.0,1.0,0.1,0.01,0.005,0.0,5,0.1,0.7,0.5,True,False,1,True,
50,-99.51783369274588,-99.19107573851635,2020-06-05_16-32-34,,BipedalWalker-v3,0,50,MU_ES,20,1.0,True,10,legacy,1.0,-1.0,True,False,logarithmic,8,logarithmic,2,logarithmic,2,0.01,100,0,20,0.1,0.4,1.0,5.0,5.0,0.1,0.01,0.002,0.0,5,0.05,0.9,0.95,True,False,1,True,
50,-88.95777663862505,3.7241970941850004,2020-06-06_16-28-31,,BipedalWalker-v3,0,50,MU_ES,7,1.0,True,10,per_neuron,1.0,-1.0,False,True,logarithmic,8,logarithmic,1.5,logarithmic,1.5,0.0,100,0,2,,,1.0,1.0,,0.1,0.03,,0.1,3,0.5,1.0,0.8,True,False,1,True,0.3
50,-61.629850903785545,-50.17187180818468,2020-06-06_12-24-25,,BipedalWalker-v3,0,50,MU_ES,5,0.1,True,1,fixed,1.0,-1.0,False,False,logarithmic,2,logarithmic,8,logarithmic,2,0.1,100,0,5,,,1.0,5.0,,0.1,0.001,,0.0,5,0.5,1.0,0.9,True,False,1,True,0.3
50,77.05299702404486,104.0945289639009,2020-06-06_16-35-03,,BipedalWalker-v3,0,50,MU_ES,10,0.5,False,10,global,1.0,-1.0,False,True,logarithmic,1.5,logarithmic,1.5,logarithmic,1.5,0.1,100,0,0.5,,,5.0,1.0,,0.3,0.003,,0.1,5,0.5,1.0,0.9,True,False,1,True,0.5
50,-99.76762919023638,-99.53769292332515,2020-06-05_13-13-15,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,10,global,1.0,-1.0,True,True,logarithmic,2,logarithmic,2,logarithmic,2,0.0001,100,0,10,0.2,0.5,5.0,5.0,5.0,0.2,0.05,0.005,0.0,5,0.1,0.7,0.99,True,False,1,True,
50,-37.36018320220623,-14.285586501929345,2020-06-05_16-29-40,,BipedalWalker-v3,0,50,MU_ES,20,0.5,False,5,global,1.0,-1.0,False,False,logarithmic,1.5,logarithmic,2,logarithmic,8,0.01,100,0,0.5,0.3,0.5,5.0,5.0,5.0,0.2,0.02,0.002,0.1,5,0.05,0.7,0.8,True,False,1,True,
50,-99.01730753647229,-95.36448302514674,2020-06-05_15-31-33,,BipedalWalker-v3,0,50,MU_ES,5,0.01,True,1,fixed,1.0,-1.0,False,True,logarithmic,1.5,logarithmic,2,logarithmic,2,0.01,100,0,3,0.2,0.5,1.0,1.0,1.0,0.2,0.02,0.002,0.05,3,0.1,0.7,0.95,True,False,1,True,
50,-99.58443494739917,-95.01909351756353,2020-06-05_15-52-53,,BipedalWalker-v3,0,50,MU_ES,20,1.0,False,5,global,1.0,-1.0,True,True,logarithmic,1.5,logarithmic,2,logarithmic,8,0.001,100,0,3,0.2,0.5,5.0,5.0,1.0,0.2,0.05,0.005,0.0,5,0.1,0.5,0.95,True,False,1,True,
50,-87.27415747545989,-2.820949965442661,2020-06-06_18-22-57,,BipedalWalker-v3,0,50,MU_ES,7,0.1,False,1,legacy,1.0,-1.0,False,False,logarithmic,8,logarithmic,2,logarithmic,8,0.01,100,0,1,,,1.0,1.0,,0.3,0.003,,0.0,3,0.5,1.0,0.5,True,False,1,True,0.3
50,11.772861562537528,13.773011162752315,2020-06-05_15-56-03,,BipedalWalker-v3,0,50,MU_ES,20,0.5,True,5,global,1.0,-1.0,False,True,logarithmic,8,logarithmic,1.5,logarithmic,2,0.01,100,0,1,0.1,0.5,5.0,1.0,5.0,0.1,0.01,0.001,0.05,5,0.5,0.9,0.9,True,False,1,True,
50,-22.35960291978915,-7.410779286343555,2020-06-06_11-59-47,,BipedalWalker-v3,0,50,MU_ES,7,0.1,True,5,fixed,1.0,-1.0,True,True,logarithmic,1.5,logarithmic,2,logarithmic,8,0.01,100,0,0.5,,,5.0,1.0,,0.3,0.001,,0.0,5,0.5,1.0,0.5,True,False,1,True,0.3
50,-98.03794954583745,-97.21970709250292,2020-06-05_18-37-02,,BipedalWalker-v3,0,50,MU_ES,20,0.01,False,1,global,1.0,-1.0,False,True,logarithmic,8,logarithmic,1.5,logarithmic,8,0.0,100,0,20,0.1,0.5,5.0,1.0,1.0,0.2,0.01,0.002,0.0,5,0.1,0.9,0.95,True,False,1,True,
50,-99.41233339158836,-98.58703135768135,2020-06-05_17-19-22,,BipedalWalker-v3,0,50,MU_ES,20,1.0,True,1,global,1.0,-1.0,True,False,logarithmic,1.5,logarithmic,8,logarithmic,1.5,0.01,100,0,3,0.1,0.5,1.0,5.0,1.0,0.1,0.05,0.005,0.0,3,0.05,0.95,0.95,True,False,1,True,
50,59.285626319760404,96.04904683880805,2020-06-05_12-24-42,,BipedalWalker-v3,0,50,MU_ES,20,0.05,True,10,legacy,1.0,-1.0,True,True,logarithmic,2,logarithmic,1.5,logarithmic,8,0.0001,100,0,10,0.3,0.5,1.0,5.0,1.0,0.2,0.01,0.002,0.0,3,0.3,0.95,0.8,True,False,1,True,
50,-87.72494452192794,-37.26093524525486,2020-06-05_16-58-56,,BipedalWalker-v3,0,50,MU_ES,5,0.05,False,20,fixed,1.0,-1.0,False,True,logarithmic,2,logarithmic,2,logarithmic,1.5,0.001,100,0,2,0.3,0.4,1.0,5.0,1.0,0.1,0.02,0.002,0.1,5,0.1,0.7,0.5,True,False,1,True,
50,-92.52934621499162,-85.91902353630395,2020-06-06_16-16-36,,BipedalWalker-v3,0,50,MU_ES,10,0.1,False,10,global,1.0,-1.0,False,True,logarithmic,2,logarithmic,1.5,logarithmic,1.5,0.001,100,0,2,,,5.0,5.0,,0.1,0.001,,0.2,3,0.5,1.0,0.8,True,False,1,True,0.5
50,-91.01300179845393,-90.65130358711663,2020-06-05_17-40-21,,BipedalWalker-v3,0,50,MU_ES,5,0.01,True,1,legacy,1.0,-1.0,True,False,logarithmic,2,logarithmic,8,logarithmic,2,0.001,100,0,0.5,0.3,0.4,1.0,1.0,5.0,0.2,0.01,0.005,0.1,5,0.1,0.5,0.5,True,False,1,True,
50,-92.6213395838111,-91.97382098947888,2020-06-05_18-35-04,,BipedalWalker-v3,0,50,MU_ES,20,0.01,True,5,global,1.0,-1.0,False,False,logarithmic,8,logarithmic,1.5,logarithmic,1.5,0.001,100,0,20,0.1,0.5,5.0,1.0,1.0,0.1,0.02,0.002,0.0,3,0.5,0.9,0.95,True,False,1,True,
50,-101.82966149214312,-101.80645253603363,2020-06-05_14-04-50,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,10,global,1.0,-1.0,False,True,logarithmic,8,logarithmic,8,logarithmic,8,0.01,100,0,10,0.2,0.5,1.0,5.0,1.0,0.1,0.01,0.002,0.0,3,0.1,0.9,0.99,True,False,1,True,
50,-62.293155186115065,-5.42767833149618,2020-06-05_15-28-02,,BipedalWalker-v3,0,50,MU_ES,10,1.0,False,5,legacy,1.0,-1.0,True,False,logarithmic,2,logarithmic,1.5,logarithmic,8,0.01,100,0,0.5,0.1,0.5,5.0,5.0,1.0,0.2,0.05,0.005,0.0,5,0.1,0.7,0.5,True,False,1,True,
50,45.8885628266999,74.05335503046092,2020-06-05_16-41-37,,BipedalWalker-v3,0,50,MU_ES,20,1.0,True,10,fixed,1.0,-1.0,False,False,logarithmic,2,logarithmic,1.5,logarithmic,1.5,0.0001,100,0,0.5,0.1,0.5,5.0,5.0,1.0,0.2,0.05,0.001,0.0,5,0.3,0.9,0.8,True,False,1,True,
50,-54.0796815858324,-13.345996327050758,2020-06-06_18-21-10,,BipedalWalker-v3,0,50,MU_ES,10,0.1,True,1,fixed,1.0,-1.0,False,True,logarithmic,2,logarithmic,1.5,logarithmic,1.5,0.001,100,0,1,,,5.0,5.0,,0.1,0.001,,0.0,5,0.2,1.0,0.9,True,False,1,True,0.5
50,-99.71309614472416,-98.12762996966181,2020-06-05_17-29-32,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,1,global,1.0,-1.0,False,True,logarithmic,1.5,logarithmic,8,logarithmic,8,0.0,100,0,10,0.3,0.5,5.0,1.0,1.0,0.1,0.01,0.001,0.05,5,0.1,0.9,0.5,True,False,1,True,
50,-101.51883625065497,-100.80580773595159,2020-06-05_18-31-53,,BipedalWalker-v3,0,50,MU_ES,20,1.0,False,10,global,1.0,-1.0,False,True,logarithmic,8,logarithmic,1.5,logarithmic,1.5,0.01,100,0,10,0.3,0.5,1.0,1.0,1.0,0.1,0.02,0.001,0.1,5,0.5,0.7,0.9,True,False,1,True,
50,-99.10226621108482,-98.99375654815627,2020-06-05_17-41-52,,BipedalWalker-v3,0,50,MU_ES,10,0.01,True,10,global,1.0,-1.0,True,False,logarithmic,2,logarithmic,8,logarithmic,1.5,0.0,100,0,10,0.2,0.4,1.0,5.0,5.0,0.1,0.05,0.001,0.0,5,0.1,0.7,0.5,True,False,1,True,
50,-102.34070410086264,-101.5472452978631,2020-06-05_14-14-29,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,1,fixed,1.0,-1.0,False,True,logarithmic,8,logarithmic,8,logarithmic,1.5,0.0,100,0,10,0.1,0.5,5.0,5.0,5.0,0.1,0.02,0.002,0.0,3,0.05,0.7,0.8,True,False,1,True,
50,-91.29566251669073,-69.90462533676691,2020-06-05_14-26-33,,BipedalWalker-v3,0,50,MU_ES,20,0.05,False,5,legacy,1.0,-1.0,False,True,logarithmic,1.5,logarithmic,8,logarithmic,8,0.01,100,0,3,0.3,0.5,1.0,1.0,1.0,0.2,0.02,0.005,0.0,3,0.05,0.95,0.8,True,False,1,True,
